String ID,Dev Notes / Context,Character Limit,Text
experience,"User Interface, exit screen",40,expérience
Current,"User Interface, exit screen",40,Actuel
current,"User Interface, exit screen",40,actuel
Next Level,"User Interface, exit screen",40,Niveau suivant
next level,"User Interface, exit screen",40,niveau suivant
skip,"User Interface, exit screen",40,passer
Approx roubles made,"User Interface, exit screen",64,Roubles gagnés (approx.)
Killed by,"User Interface, exit screen",40,Tué par
Show difficulty settings,"User Interface, exit screen",64,Afficher la difficulté
Stash,Interfactions,48,Planque
Talk,Interfactions,48,Parler
Sleep,Interfactions,48,Dormir
Enter,Interfactions,48,Entrer
Interact,Interfactions,48,Interagir
Investigate,Interfactions,48,Enquêter
Open,Interfactions,48,Ouvrir
Jam,Interfactions,48,Enrayer
Fix,Interfactions,48,Réparer
Mark,Interfactions,48,Marquer
place analyzer,Interfactions,48,placer l’analyseur
Activate GPS,Interfactions,48,Activer le GPS
Open the valve,Interfactions,48,Ouvrir la vanne
Place dynamite,Interfactions,48,Placer la dynamite
Turn on lights,Interfactions,48,Allumer les lumières
Open the valve,Interfactions,48,Ouvrir la vanne
Read,Interfactions,48,Lire
Open the valve,Interfactions,48,Ouvrir la vanne
Rip out the tongue and eyes,Interfactions,48,Arracher langue et yeux
Switch ON/OFF,Interfactions,48,Interrupteur ON/OFF
Change color 1,Interfactions,48,Changer couleur 1
Change color 2,Interfactions,48,Changer couleur 2
Change mode,Interfactions,48,Changer de mode
Change timer,Interfactions,48,Changer minuteur
Give Milk,Interfactions,48,Donner du lait
Fatigue,Player Status,48,Fatigue
Well rested,Player Status,48,Bien reposé
Not tired,Player Status,48,Pas fatigué
Sleepy,Player Status,48,Somnolent
Tired,Player Status,48,Fatigué
Very tired,Player Status,48,Très fatigué
Hunger,Player Status,48,Faim
Full,Player Status,48,Rassasié
Not hungry,Player Status,48,Pas faim
Slightly hungry,Player Status,48,Un peu faim
Hungry,Player Status,48,Affamé
Starving,Player Status,48,Faim extrême
Thirst,Player Status,48,Soif
Well hydrated,Player Status,48,Bien hydraté
Not thirsty,Player Status,48,Pas soif
Slightly thirsty,Player Status,48,Un peu soif
Thirsty,Player Status,48,Assoiffé
Dehydrated,Player Status,48,Déshydraté
Radiation,Player Status,48,Radiations
Not irradiated,Player Status,48,Pas irradié
Slightly irradiated,Player Status,48,Légèrement irradié
Irradiated,Player Status,48,Irradié
Dangerously irradiated,Player Status,48,Irradiation dangereuse
Fatal irradiated,Player Status,48,Irradiation fatale
MAP,PDA Icons,20,CARTE
QUEST,Player Status,20,QUÊTE
STAT,Player Status,20,STAT
RELATIONS,Player Status,20,RELATIONS
SKILL TREE,Player Status,20,ARBRE DE COMP.
BASE,Player Status,20,BASE
"Welcome to the bunker ZERO Sievert, one of the last safe places in Zakov",Tutorial,256,"Bienvenue dans le bunker ZERO Sievert, l’un des derniers lieux sûrs de Zakov."
"In this place you'll be able to accept new missions, trade with vendors and manage your equipment.\nBefore you go out on a hunt I suggest you explore the bunker",Tutorial,256,"Ici, tu pourras accepter de nouvelles missions, commercer avec des vendeurs et gérer ton équipement.\nAvant de partir en chasse, je te conseille d’explorer le bunker."
"Go talk to the barman, he will surely have some quests to give you.\nAlso he will explain what happened at Zakov",Tutorial,256,"Va parler au barman, il aura sûrement des quêtes pour toi.\nIl t’expliquera aussi ce qui s’est passé à Zakov."
"In order to leave the bunker and go on a hunt, you need to talk to the train conductor.\nHe is located to the south, outside the bunker. Before leaving ask him a few questions, he will explain how to extract from the maps",Tutorial,256,"Pour quitter le bunker et partir en chasse, parlez au conducteur du train.\nIl se trouve au sud, à l’extérieur du bunker. Avant de partir, posez-lui quelques questions : il vous expliquera comment extraire des cartes."
"There is a room in the bunker that you can use as a base, to the left of the barman.\nYou'll be able to use the workstation to craft new items, use the crates as storage, and build modules.",Tutorial,256,"Il y a une pièce dans le bunker que tu peux utiliser comme base, à gauche du barman.\nTu pourras utiliser l’établi pour fabriquer de nouveaux objets, les caisses comme stockage et construire des modules."
"By accessing your personal device [J] you will be able to see your position, current missions, install new modules and other things.",Tutorial,256,"Via votre appareil personnel [J], voyez votre position, vos missions, installez des modules et plus encore."
"Press [TAB] to access your inventory and equip the backpack.\nIf you need information on the game mechanics, consult the tutorial by pressing [ESC].\nGood luck hunter!",Tutorial,256,"Appuyez sur [TAB] pour accéder à votre inventaire et équiper le sac à dos.\nSi vous avez besoin d’infos sur les mécaniques de jeu, consultez le tutoriel en appuyant sur [ESC].\nBonne chance, chasseur !"
Scientists,Factions,24,Scientifiques
Loners,Factions,24,Solos
Bandit,Factions,24,Bandit
Mercenary,Factions,24,Mercenaire
Green Army,Factions,24,Armée Verte
Player,Factions,24,Joueur
MAX HP,Injector stats,16,PV MAX
Max HP,Injector stats,16,PV max
HP Regen/s,Injector stats,16,Régén. PV/s
HP Regen,Injector stats,16,Régén. PV
Health,Injector stats,16,Santé
Bleed,Injector stats,16,Saignement
Bleed Rec,Injector stats,16,Récup. saign.
Bleed Rec/s,Injector stats,16,Récup. saign./s
bleed immune,Injector stats,16,immun. saign.
Bleed Immune,Injector stats,16,Immun. saign.
max stamina,Injector stats,16,endurance max
Max Stamina,Injector stats,16,Endurance max
Stamina Regen/s,Injector stats,16,Régén. end./s
Rad Regen/s,Injector stats,16,Régén. rad./s
Rad Defence,Injector stats,16,Prot. rad.
Hunger/s,Injector stats,16,Faim/s
Thirst/s,Injector stats,16,Soif/s
Min Dur.,Item Stats,16,Durée min.
Max Dur.,Item Stats,16,Durée max.
Cond. Gain,Item Stats,16,Gain d’état
Hold ctrl while dragging an item to divide its quantity,Loading screen tips,256,Maintenez Ctrl en faisant glisser un objet pour diviser sa quantité
Scroll mouse wheel to select a different interaction option,Loading screen tips,256,Faites défiler la molette pour choisir une autre interaction
Hold ctrl and click an item to move it quickly,Loading screen tips,256,Maintenez Ctrl et cliquez sur un objet pour le déplacer vite
Weapons can be modded only in the bunker,Loading screen tips,256,Les armes ne se modifient qu’au bunker
Hunger and thirst do not decrease in the bunker,Loading screen tips,256,La faim et la soif ne baissent pas au bunker
Weight carried and running influence accumulated fatigue,Loading screen tips,256,La charge et la course influent sur la fatigue accumulée
You can add a marker on the minimap by pressing RMB,Loading screen tips,256,Ajoutez un marqueur sur la minicarte avec Clic Droit
The doctor can heal you,Loading screen tips,256,Le médecin peut vous soigner
Shooting with a scope grants 100% accuracy and no bullet travel time,Loading screen tips,256,Tirer avec une lunette donne 100 % de précision et sans temps de trajet
"Weapons durability influence the accuracy, damage and the chance of jam",Loading screen tips,256,"La durabilité affecte précision, dégâts et risque d’enrayement"
"Before using a kit for a module, you must first install it via the Personal Device",Loading screen tips,256,"Avant d’utiliser un kit de module, installez-le via l’Appareil personnel"
Use a repair kit restore the durability of weapons and armour,Loading screen tips,256,Utilisez un kit de réparation pour restaurer armes et armures
Once you have reached the maximum level of a skill you can select a specialisation,Loading screen tips,256,"Au niveau max d’une compétence, choisissez une spécialisation"
You move slowly if overencumbered,Loading screen tips,256,Surcharge = déplacement lent
"To increase the number of stashes in the bunker, you have to build a storage kit",Loading screen tips,256,"Pour plus de coffres au bunker, fabriquez un kit de stockage"
"You can die quickly, choose wisely when to engage",Loading screen tips,256,On meurt vite : choisissez bien vos combats
You can only die of radiation when the indicator is red,Loading screen tips,256,La radiation ne tue que quand l’indicateur est rouge
Enemies have reduced vision at night,Loading screen tips,256,Les ennemis voient moins bien la nuit
Wounds decrease your max HP,Loading screen tips,256,Les blessures réduisent vos PV max
Press Fire Button to end an animation,Loading screen tips,256,Appuyez sur Tir pour finir une animation
Press R to rotate an item whilst in the inventory screen,Loading screen tips,256,Appuyez sur R pour faire pivoter un objet dans l’inventaire
You can mitigate your weapons recoil by pulling back in the opposite direction.,Loading screen tips,256,Compensez le recul en tirant dans la direction opposée.
Reticle placement matters. Reduce glancing shots by having your reticle directly over your target when shooting.,Loading screen tips,256,Placez bien la réticule. Visez directement la cible pour éviter les ricochets.
"Swapping to a pistol is faster than any other type of weapon swap, making it the perfect backup weapon in a pinch.",Loading screen tips,256,Passer au pistolet est le plus rapide : l’arme de secours idéale.
"Be vigilant, some enemies are tougher than others, indicated by what armor they are wearing.",Loading screen tips,256,Restez vigilant : la robustesse se voit à l’armure portée.
"Grenades are high value items, incredibly useful, but not to be wasted.",Loading screen tips,256,Les grenades sont précieuses et très utiles : ne les gâchez pas.
Speak to the Networker in the bunker for additional quests and rewards each day.,Loading screen tips,256,Parlez au Courtier au bunker pour des quêtes et récompenses quotidiennes.
"Knowing your effective range, is knowing your enemies'. Keep an eye on enemy loadouts and adapt your strategy.",Loading screen tips,256,"Connaître votre portée, c’est connaître celle de l’ennemi. Surveillez leur équipement et adaptez-vous."
Grenades are a great way to make an enemy move or perish. Use them to push positions.,Loading screen tips,256,Les grenades font bouger ou tomber l’ennemi. Poussez des positions avec.
"Holding RMB to aim your weapon will extend your view distance, with optical scopes increasing it considerably.",Loading screen tips,256,Maintenir Clic Droit pour viser augmente la portée de vue; les lunettes l’amplifient.
"Attaching a reflex sight to your weapon will make your reticle positioning more forgiving, making glancing shots less likely.",Loading screen tips,256,"Un viseur réflex tolère mieux le placement de réticule, moins de tirs de biais."
Don’t peek the same corner! Enemies will react much more quickly when targeting near your last known position.,Loading screen tips,256,N’épiez pas le même angle ! Ils réagissent vite près de votre dernière position.
Landmines are an effective tool to defend against rushing enemies. Just remember where you put them.,Loading screen tips,256,Les mines stoppent les assauts. Souvenez-vous où vous les posez.
"Specialist ammo types can alter a weapon's effective range, such as shotguns and slugs.",Loading screen tips,256,"Les munitions spécialisées modifient la portée, ex. chevrotine et balles."
Enemies will remember your last position in an encounter. Use that against them with flanking tactics.,Loading screen tips,256,Les ennemis gardent en tête votre dernière position. Flanquez-les.
Shotguns and SMGs offer unmatched firepower at close ranges.,Loading screen tips,256,Fusils à pompe et PM dominent à courte portée.
"Snipers & DMR’s have the longest effective ranges out of any weapon types, but will struggle to make full contact shots at close range, best complemented with a short range weapon for close combat.",Loading screen tips,256,"Snipers et DMR ont la meilleure portée, mais peinent de près : complétez-les avec une arme courte."
Counter incoming flashbangs by looking away to counter the blinding effects.,Loading screen tips,256,Contrez une flashbang en détournant le regard pour limiter l’aveuglement.
Join the Discord server to stay up-to-date with the game development (click on Patch Notes in the main menu),Loading screen tips,256,Rejoignez le serveur Discord pour suivre le développement (cliquez sur Notes de version dans le menu principal)
Igor's house,Marker names,48,Maison d’Igor
Normal,Marker names,48,Normal
Crimson outpost,Marker names,48,Avant-poste Crimson
Christmas Airdrop,Marker names,48,Airdrop de Noël
Always remember to bring food and drink with you,"Tips, currently unused",256,N’oubliez jamais d’emporter à boire et à manger
If you haven't slept in a while you'll start to lose stamina max,"Tips, currently unused",256,"Si tu ne dors pas pendant un moment, ton endurance max commencera à baisser."
"Doctor can cure hp, wounds and radiation","Tips, currently unused",256,"Le médecin peut soigner les PV, les blessures et la radiation."
"Weapons in poor condition do less damage, are inaccurate and can jam","Tips, currently unused",256,"Les armes en mauvais état font moins de dégâts, sont moins précises et peuvent s’enrayer."
You can repair weapons and armor by yourself if you have the workshop module,"Tips, currently unused",256,Tu peux réparer armes et armures si tu as le module d’atelier.
"Pay attention to your stamina, always keep some in case you need to escape quickly","Tips, currently unused",256,"Surveille ton endurance, garde-en toujours pour fuir rapidement."
By increasing your reputation level you'll unlock new missions and new equipment from the vendors,"Tips, currently unused",256,"En augmentant ta réputation, tu débloques de nouvelles missions et de nouveaux équipements chez les vendeurs."
If you die you will receive half the experience,"Tips, currently unused",256,"Si tu meurs, tu ne gagnes que la moitié de l’expérience."
"In each map there are hidden stashes, they can contain anything.","Tips, currently unused",256,Chaque carte cache des planques qui peuvent contenir de tout.
Transfusion 1,Skill Names,64,Transfusion 1
Increase max HP by 10,Skill Descriptions,128,Augmente les PV max de 10.
Transfusion 2,Skill Names,64,Transfusion 2
Increase max HP by 10,Skill Descriptions,128,Augmente les PV max de 10.
Mutated Platelet,Skill Names,64,Plaquette mutée
Restore 0.5% of missing HP every second,Skill Descriptions,128,"Rend 0,5 % des PV manquants chaque seconde."
Veteran,Skill Names,64,Vétéran
+10% weapon damage,Skill Descriptions,128,+10 % de dégâts d’armes.
Integrated Armor,Skill Names,64,Armure intégrée
-10% damage received,Skill Descriptions,128,−10 % de dégâts subis.
Sixth sense,Skill Names,64,Sixième sens
15% chance to not die from a fatal hit,Skill Descriptions,128,15 % de chances de survivre à un coup fatal.
Strong Blood,Skill Names,64,Sang robuste
-30% chance to bleed,Skill Descriptions,128,−30 % de chances de saigner.
Critical shot,Skill Names,64,Tir critique
15% to kill the target if their HP is less than 20%,Skill Descriptions,128,15 % de chances de tuer la cible si ses PV sont inférieurs à 20 %.
Soldier training,Skill Names,64,Entraînement de soldat
+10% accuracy and -10% recoil,Skill Descriptions,128,+10 % de précision et −10 % de recul.
Basic craftmanship course,Skill Names,64,Cours de fabrication basique
Unlock basic gear crafting,Skill Descriptions,128,Débloque la fabrication d’équipement basique.
Master craftmeaship course,Skill Names,64,Cours de fabrication maître
Unlock all crafting,Skill Descriptions,128,Débloque toute la fabrication.
Advanced craftmanship course,Skill Names,64,Cours de fabrication avancé
Unlock more crafting,Skill Descriptions,128,Débloque davantage de fabrications.
Charisma 1,Skill Names,64,Charisme 1
Increase selling price by 5%,Skill Descriptions,128,Augmente le prix de vente de 5 %.
Charisma 2,Skill Names,64,Charisme 2
Increase selling price by 7%,Skill Descriptions,128,Augmente le prix de vente de 7 %.
Friend or the train conductor,Skill Names,64,Ami du contrôleur de train
Decrease the price of entering a map by 25%,Skill Descriptions,128,Réduit de 25 % le prix d’entrée sur une carte.
Just because it is you,Skill Names,64,Parce que c’est toi
Traders sell more quantity of items,Skill Descriptions,128,Les marchands vendent des quantités plus élevées d’objets.
Inventory 1,Skill Names,64,Inventaire 1
Unlock more items from traders,Skill Descriptions,128,Débloque plus d’objets chez les marchands.
Lost and found,Skill Names,64,Objets trouvés
Unlock the trader which sells random stuff,Skill Descriptions,128,Débloque le marchand qui vend des objets aléatoires.
Survival kit,Skill Names,64,Kit de survie
Traders sell more medikit and ammo,Skill Descriptions,128,Les marchands vendent plus de kits de soins et de munitions.
Inventory 2,Skill Names,64,Inventaire 2
Unlock more items from traders,Skill Descriptions,128,Débloque plus d’objets chez les marchands.
Quest devourer,Skill Names,64,Dévoreur de quêtes
Increase quest experience by 30%,Skill Descriptions,128,Augmente l’expérience de quête de 30 %.
Deposit 1,Skill Names,64,Dépôt 1
You gain 1 more personal chest,Skill Descriptions,128,Vous gagnez 1 coffre personnel supplémentaire
Deposit 2,Skill Names,64,Dépôt 2
You gain two more personal chest,Skill Descriptions,128,Vous gagnez 2 coffres personnels supplémentaires
Tip,Skill Names,64,Pourboire
Increase the reward of quests,Skill Descriptions,128,Augmente les récompenses des quêtes
Strong shoulders,Skill Names,64,Épaules solides
Increase max weight by 10,Skill Descriptions,128,Augmente la charge max de 10
Strong stomach,Skill Names,64,Estomac solide
You can eat everything without be irradiated,Skill Descriptions,128,Vous pouvez tout manger sans être irradié
Steel skin,Skill Names,64,Peau d’acier
Radiations under 90msv/hour don't harm you,Skill Descriptions,128,Les radiations sous 90 mSv/h ne vous affectent pas
Gold digger,Skill Names,64,Chercheur d’or
Greatly increase the amount of items found in chests,Skill Descriptions,128,Augmente fortement le nombre d’objets trouvés dans les coffres
Cardio,Skill Names,64,Cardio
Increase stamina by 15 points,Skill Descriptions,128,Augmente l’endurance de 15 points
Marathon runner,Skill Names,64,Marathonien
Consume 30% less stamina while running,Skill Descriptions,128,Consomme 30 % d’endurance en moins en courant
Mule,Skill Names,64,Mule
You can move while overweighted,Skill Descriptions,128,Vous pouvez bouger en surcharge
Agility,Skill Names,64,Agilité
Increase your movement speed by 10%,Skill Descriptions,128,Augmente votre vitesse de déplacement de 10 %
Good finder,Skill Names,64,Bon fouineur
Slightly increase the amount of items found in chests,Skill Descriptions,128,Augmente légèrement les objets trouvés dans les coffres
Wanderer,Skill Names,64,Vagabond
Increase max weight by 5 and gain 5% more expereince,Skill Descriptions,128,Augmente la charge max de 5 et +5 % d’expérience
Sharp eye,Skill Names,64,Œil de lynx
Increase the amount of secret stash on maps,Skill Descriptions,128,Augmente le nombre de caches secrètes sur les cartes
Fast hands,Skill Names,64,Mains rapides
Decrease the looting time by 50%,Skill Descriptions,128,Réduit le temps de fouille de 50 %
Fitness,Skill Names,64,Forme physique
Increase your physical stats,Skill Descriptions,256,Augmente vos caractéristiques physiques
+2 stamina per level,Skill Value Descriptions,128,+2 d’endurance par niveau
Jogger,Skill Names,64,Joggeur
Increase stamina and running does not cost stamina if you are under a certain weight,Skill Descriptions,256,Augmente l’endurance et courir ne coûte rien sous un certain poids
+10 +2 stamina per level\nFree run under 20 + 2 per level kg,Skill Value Descriptions,128,+10 +2 d’endurance par niveau\nCourse gratuite sous 20 + 2 kg par niveau
Mule,Skill Names,64,Mule
Greatly increase your max weight,Skill Descriptions,256,Augmente fortement votre charge maximale
+5 +0.6 max carry weight per level,Skill Value Descriptions,128,"+5 +0,6 de charge max par niveau"
Sprinter,Skill Names,64,Sprinteur
Slightly increase stamina and running speed and reduce running cost,Skill Descriptions,256,"Augmente légèrement l’endurance et la vitesse, réduit le coût de course"
+5 +1 stamina per level\n+5% +1% running speed per level\n-30% -2% running cost per level,Skill Value Descriptions,128,+5 +1 d’endurance par niveau\n+5 % +1 % de vitesse de course/niveau\n-30 % -2 % coût de course/niveau
Style,Skill Names,64,Style
Increase your looting speed,Skill Descriptions,256,Augmente votre vitesse de fouille
+3% looting speed per level,Skill Value Descriptions,128,+3 % de vitesse de fouille par niveau
Loot Goblin,Skill Names,64,Gobelin pilleur
Greatly increase Looting speed. Can see chest through walls. Slightly more loot in chests.,Skill Descriptions,256,Augmente fortement la vitesse de fouille. Voit les coffres à travers les murs. Un peu plus de butin dans les coffres.
+30% + 3% looting speed per level\n20% +2% more loot in chest per level,Skill Value Descriptions,128,+30 % + 3 % de vitesse de fouille/niveau\n20 % +2 % de butin en plus par coffre/niveau
Stealth,Skill Names,64,Furtivité
Decrease enemies' sight range.\nEnemies take longer to detect you.\nMore damage while not detected.,Skill Descriptions,256,Réduit la portée de vue des ennemis.\nLes ennemis mettent plus de temps à vous détecter.\nDégâts accrus quand vous n’êtes pas repéré.
-10% -1% enemies sight range per level.\n100% +5% detection time per level.\n+10% +2% damage while not detected per level,Skill Value Descriptions,128,−10 % −1 % portée de vue des ennemis/niv.\n100 % +5 % temps de détection/niv.\n+10 % +2 % dégâts tant que non détecté/niv.
Scout,Skill Names,64,Éclaireur
Slightly Looting speed.\nEnemies are visible for a longer time.\nMore hidden stash on maps.,Skill Descriptions,256,Légère augmentation de la vitesse de pillage.\nLes ennemis restent visibles plus longtemps.\nPlus de caches secrètes sur les cartes.
10% +2% looting speed per level.\n20% +3% time enemies are visible.\n+30% +2% more hidden chest per level,Skill Value Descriptions,128,10 % +2 % vitesse de pillage par niveau.\n20 % +3 % durée de visibilité des ennemis.\n+30 % +2 % coffres cachés par niveau
Shooting,Skill Names,64,Tir
Increase your shooting abilities,Skill Descriptions,256,Améliore tes compétences de tir
-2% recoil per level.\n+1% reloading speed per level,Skill Value Descriptions,128,−2 % de recul par niveau.\n+1 % de vitesse de rechargement par niveau
Operator,Skill Names,64,Opérateur
Greatly reduce recoil and slightly increase reloading speed,Skill Descriptions,256,Réduit fortement le recul et augmente légèrement la vitesse de rechargement
-15% -2% recoil per level.\n+5% +1% reloading speed per level,Skill Value Descriptions,128,−15 % −2 % de recul par niveau.\n+5 % +1 % de vitesse de rechargement par niveau
Fast Hands,Skill Names,64,Doigts de fée
Greatly increase reloading speed and slightly decrease recoil,Skill Descriptions,256,Augmente fortement la vitesse de rechargement et réduit légèrement le recul
-5% -1% recoil per level.\n+20% +2% reloading speed per level,Skill Value Descriptions,128,-5 % -1 % de recul par niveau.\n+20 % +2 % de vitesse de rechargement par niveau
Sniper,Skill Names,64,Sniper
Greatly increase ergonomic while aiming. Greatly increase damage while aiming,Skill Descriptions,256,Augmente fortement l’ergonomie en visant. Augmente fortement les dégâts en visant
+100% +10% ergonomic while aiming per level. +50% +8% damage while aiming per level,Skill Value Descriptions,128,+100 % +10 % ergonomie en visant par niveau. +50 % +8 % dégâts en visant par niveau
Charisma,Skill Names,64,Charisme
Better deals with vendors,Skill Descriptions,256,Meilleures offres chez les marchands
+1% selling price per level. +2% traders money per level.,Skill Value Descriptions,128,+1 % prix de vente par niveau. +2 % fonds des marchands par niveau.
Charm,Skill Names,64,Charme
Traders have more roubles,Skill Descriptions,256,Les marchands ont plus de roubles
Traders have +50% + 6% roubles per level,Skill Value Descriptions,128,Les marchands ont +50 % +6 % de roubles par niveau
Storage,Skill Names,64,Stockage
Traders have more of the items they sell,Skill Descriptions,256,Les marchands ont plus d’articles en vente
Traders have 50% + 5% more items per level,Skill Value Descriptions,128,Les marchands ont 50 % +5 % d’articles en plus par niveau
Workaholic,Skill Names,64,Bourreau de travail
Increase the rewards from quests,Skill Descriptions,256,Augmente les récompenses des quêtes
+30% + 3% per level quest reward,Skill Value Descriptions,128,+30 % +3 % de récompense de quête par niveau
Medicine,Skill Names,64,Médecine
Allows you to craft more medication based on level if you have an infirmary,Skill Descriptions,256,Permet de fabriquer plus de médicaments selon le niveau si vous avez une infirmerie
Field medic,Skill Names,64,Infirmier de terrain
Decrease medication usage time,Skill Descriptions,256,Réduit le temps d’utilisation des soins
-40% -6% medication usage time per level,Skill Value Descriptions,128,−40 % −6 % temps d’utilisation des soins par niveau
Pharmacist,Skill Names,64,Pharmacien
Allows you to craft injectors based on level if you have an infirmary,Skill Descriptions,256,Permet de fabriquer des injecteurs selon le niveau si vous avez une infirmerie
Cooking,Skill Names,64,Cuisine
Learn new recipes to cook in the kitchen and slightly increase the nutritional value of the foods you create,Skill Descriptions,256,Apprenez de nouvelles recettes et augmentez légèrement la valeur nutritive de vos plats
+3% nutrition from your cooked meals per level,Skill Value Descriptions,128,+3 % de nutrition de vos plats cuisinés par niveau
Chef,Skill Names,64,Chef
Learn more recipes and greatly increase the nutritional value of the foods you create,Skill Descriptions,256,Apprenez plus de recettes et augmentez fortement la valeur nutritive de vos plats
+30% +5% nutrition from your cooked meals per level,Skill Value Descriptions,128,+30 % +5 % de nutrition de vos plats cuisinés par niveau
Nutritionist,Skill Names,64,Nutritionniste
When you're not starving or dehydrated you get more health and stamina,Skill Descriptions,256,"Quand vous n’êtes ni affamé ni déshydraté, vous gagnez plus de santé et d’endurance"
+10 +2 hp per level. +15 +2 stamina per level.,Skill Value Descriptions,128,+10 +2 PV par niveau. +15 +2 endurance par niveau.
Gunsmith,Skill Names,64,Armurier
Allows you to craft ammunition (Ammo producer tier 1 required) and repair kit based on the level,Skill Descriptions,256,Permet de fabriquer des munitions (producteur de munitions niv. 1 requis) et des kits de réparation selon le niveau
Modder,Skill Names,64,Moddeur
Mounted mods are more effective,Skill Descriptions,256,Les mods installés sont plus efficaces
+15% + 3% effectivness of mounted mod per level,Skill Value Descriptions,128,+15 % +3 % d’efficacité des mods installés par niveau
Gear lover,Skill Names,64,Amateur d’équipement
Greatly Decrease the durability loss for weapons and armor,Skill Descriptions,256,Réduit fortement la perte de durabilité des armes et armures
-20% -5% weapons and armors durability loss per level,Skill Value Descriptions,128,−20 % −5 % de perte de durabilité des armes et armures par niveau
Stash,Teleport Location,16,Planque
Remove Quest,PDA Quest,24,Supprimer la quête
TEXT,PDA Quest,16,TEXTE
OBJECTIVE,PDA Quest,16,OBJECTIF
Objective,PDA Quest,16,Objectif
Giver,PDA Quest,16,Donneur
Slot 1,Base Building Slots,24,Emplacement 1
Slot 2,Base Building Slots,24,Emplacement 2
Slot 3,Base Building Slots,24,Emplacement 3
Slot 4,Base Building Slots,24,Emplacement 4
Slot 5,Base Building Slots,24,Emplacement 5
Slot 6,Base Building Slots,24,Emplacement 6
Slot 7,Base Building Slots,24,Emplacement 7
Modules are used to obtain passive bonuses.\nOnce the module is installed it will be at level 0.\nTo increase its level and acquire bonuses you must craft the corresponding kit at the workbench.\nYou can uninstall a module whenever you want but the materials needed to build it will not be refunded.,Base Building Info,320,"Les modules offrent des bonus passifs.\nUne fois installé, un module est au niveau 0.\nPour augmenter son niveau et obtenir des bonus, fabriquez le kit correspondant à l’établi.\nVous pouvez désinstaller un module à tout moment, mais les matériaux utilisés ne seront pas remboursés."
Infirmary,Base Module Names,32,Infirmerie
Allow crafting medication and grants passive bonus to increase overall health,"Base Module Descriptions, general",320,Permet de fabriquer des médicaments et confère un bonus passif augmentant la santé globale
"Increase max HP, less chance of bleeding,\ngradually restore HP.","Base Module Descriptions, alt a",320,"Augmente les PV max, réduit le risque d’hémorragie,\nrestaure progressivement les PV."
Storage,Base Module Names,32,Stockage
Provide more chest to store items,"Base Module Descriptions, general",320,Fournit des coffres supplémentaires pour stocker des objets
+1 Personal chest,"Base Module Descriptions, alt a",320,+1 coffre personnel
Bedroom,Base Module Names,32,Chambre
Comfortable bed that heals your wounds while sleeping.\nYour skills will level up faster,"Base Module Descriptions, general",320,Lit confortable qui soigne vos blessures pendant le sommeil.\nVos compétences progresseront plus vite
10% more experience.\nRecover fatigue and injuries 50% faster,"Base Module Descriptions, alt a",320,10 % d’expérience en plus.\nRécupération de la fatigue et des blessures 50 % plus rapide.
20% more experience.\nRecover fatigue and injuries 100% faster,"Base Module Descriptions, alt b",320,20 % d’expérience en plus.\nRécupération de la fatigue et des blessures 100 % plus rapide.
Kitchen,Base Module Names,32,Cuisine
Good nutrition is essential.\nThis kitchen allows to cook scrap food into more beneficial meals,"Base Module Descriptions, general",320,Une bonne alimentation est essentielle.\nCette cuisine permet de transformer des restes en repas plus bénéfiques.
Allows cooking basic meals,"Base Module Descriptions, alt a",320,Permet de cuisiner des plats simples
Allows cooking all meals,"Base Module Descriptions, alt b",320,Permet de cuisiner tous les plats
Recycling center,Base Module Names,32,Centre de recyclage
Nothing is wasted! Gain more materials when you scrap them,"Base Module Descriptions, general",320,Rien ne se perd ! Obtenez plus de matériaux en les recyclant.
+15% scrapped items,"Base Module Descriptions, alt a",320,+15 % d’objets recyclés
+30% scrapped items,"Base Module Descriptions, alt b",320,+30 % d’objets recyclés
Gym,Base Module Names,32,Salle de sport
A small gym where you can work out.\nGrants more stamina and cardio experience rate,"Base Module Descriptions, general",320,Une petite salle de sport pour t’entraîner.\nAugmente l’endurance et le gain d’expérience en cardio
+10 stamina.\n+20% cardio experience rate,"Base Module Descriptions, alt a",320,+10 d’endurance.\n+20 % au gain d’expérience en cardio
+20 stamina.\n+40% cardio experience rate,"Base Module Descriptions, alt b",320,+20 en endurance.\n+40 % de gain d’expérience en cardio
Shooting range,Base Module Names,32,Stand de tir
Train your shooting skill.\nGain more weapon damage and shooting experience rate,"Base Module Descriptions, general",320,Entraînez votre tir.\nAugmentez les dégâts des armes et le gain d’expérience de tir.
+5% weapon damage.\n+20% shooting experience rate,"Base Module Descriptions, alt a",320,+5 % de dégâts d’arme.\n+20 % de gain d’expérience en Tir
+10% weapon damage.\n+40% shooting experience rate,"Base Module Descriptions, alt b",320,+10 % de dégâts d’arme.\n+40 % au gain d’expérience de Tir
Radio station,Base Module Names,32,Station radio
in development - do not install,"Base Module Descriptions, general",320,En développement – ne pas installer
Allows to see all the minimap,"Base Module Descriptions, alt a",320,Permet de voir toute la minicarte
Show interesting points and chests on the minimap,"Base Module Descriptions, alt b",320,Affiche les points d’intérêt et les coffres sur la minicarte
Forge,Base Module Names,32,Forge
Provide scrap items every day,"Base Module Descriptions, general",320,Fournit des objets à recycler chaque jour
Provide some scrap items every day,"Base Module Descriptions, alt a",320,Fournit quelques objets à recycler chaque jour
Scavenger,Base Module Names,32,Récupérateur
